Cód.,Componentes Curriculares,CT,CP,EaD,Prática,Ext,PR
1,Informática na Educação,2,0,2,0,0,29
2,Segurança da Informação e Cibersegurança,2,0,2,0,0,35
3,Processamento Paralelo e Distribuido,2,0,2,0,0,35
4,Técnicas e Projeto Aplicado de Sistemas Digitais VLSI,1,1,2,0,0,23
5,Desafios de Programação,2,0,2,0,0,33
6,Concepção de Circuitos Integrados,2,0,2,0,0,23
7,Desenvolvimento de Software Livre,2,0,2,0,0,22
8,Ferramentas de CAD,1,1,2,0,0,"11,22"
9,Introdução à Comunicação Móvel,2,0,2,0,0,0
10,Instrumentação Industrial,2,0,2,0,0,0
11,Lógica para Computação,2,0,2,0,0,22
12,Matemática Discreta,2,0,2,0,0,0
13,Linguagens Formais,2,0,2,0,0,22
14,Processamento Digital de Sinais,1,1,2,0,0,"21, 10, 19"
15,Mineração de Dados ,2,0,2,0,0,4
16,Deep Learning 30,2,0,0,0,0,4
17,Tópicos Especiais em Computação,2,0,2,0,0,0
