Nome do Aluno,Tipo,Detalhes
,Componente Curricular Obrigatorio,ID: 1
,Componente Curricular Obrigatorio,ID: 4
,Componente Curricular Obrigatorio,ID: 5
,Componente Curricular Obrigatorio,ID: 6
,Componente Curricular Obrigatorio,ID: 7
,Componente Curricular Obrigatorio,ID: 8
,Componente Curricular Obrigatorio,ID: 9
,Componente Curricular Obrigatorio,ID: 10
,Componente Curricular Obrigatorio,ID: 11
,Componente Curricular Obrigatorio,ID: 12
,Componente Curricular Não Obrigatorio,ID: 8
0,ENADE,Situação: Irregular
